 1. 1.2005 - 28. 1.2005
29. 1.1995 -  7. 2.1995
 8. 2.2001 - 24. 2.2001
25. 2.2002 -  6. 3.2002
 7. 3.2003 - 30. 3.2003
31. 3.2005 -  9. 4.2005
10. 4.1994 - 30. 4.1994
30. 4.2000 -  9. 5.2000
11. 5.2003 - 31. 5.2003
31. 5.1996 -  9. 6.1996
11. 6.2005 - 28. 6.2005
29. 6.2003 -  8. 7.2003
 9. 7.2006 - 27. 7.2006
28. 7.1994 -  6. 8.1994
 7. 8.2001 - 26. 8.2001
27. 8.2005 - 20. 9.2005
21. 9.1999 - 30. 9.1999
30. 9.2004 -  9.10.2004
11.10.1995 - 26.10.1995
27.10.1994 -  5.11.1994
 6.11.1997 - 20.11.1997
20.11.2000 - 29.11.2000
 1.12.1994 - 23.12.1994
24.12.1993 - 31.12.1993
