 1. 1.2002 - 26. 1.2002
27. 1.1994 -  5. 2.1994
 6. 2.2004 - 15. 2.2004
16. 2.2003 - 26. 2.2003
27. 2.1997 -  8. 3.1997
 9. 3.1995 - 28. 3.1995
29. 3.2005 -  7. 4.2005
 8. 4.1994 - 23. 4.1994
24. 4.1995 -  3. 5.1995
 4. 5.1999 - 30. 5.1999
31. 5.1993 -  9. 6.1993
10. 6.1994 - 22. 6.1994
23. 6.1997 -  2. 7.1997
 3. 7.2005 - 28. 7.2005
29. 7.1999 -  7. 8.1999
 8. 8.1993 - 23. 8.1993
23. 8.1996 -  1. 9.1996
 3. 9.2002 - 23. 9.2002
24. 9.2007 - 20.10.2007
21.10.1998 - 30.10.1998
31.10.2006 -  9.11.2006
 9.11.1996 - 24.11.1996
26.11.1997 - 31.12.1997
