 1. 1.1998 - 30. 1.1998
31. 1.2001 -  9. 2.2001
10. 2.1995 - 19. 2.1995
20. 2.2003 -  1. 3.2003
 2. 3.1998 - 31. 3.1998
31. 3.2004 -  9. 4.2004
11. 4.1994 - 29. 4.1994
30. 4.2007 -  9. 5.2007
10. 5.1997 - 27. 5.1997
27. 5.1996 -  5. 6.1996
 7. 6.2002 - 18. 6.2002
19. 6.1995 - 29. 6.1995
30. 6.2006 -  9. 7.2006
10. 7.1998 - 23. 7.1998
24. 7.2002 -  2. 8.2002
 3. 8.1995 - 30. 8.1995
30. 8.2000 -  8. 9.2000
10. 9.2003 - 22. 9.2003
22. 9.2000 -  1.10.2000
 3.10.1997 - 13.10.1997
13.10.2004 - 31.10.2004
 1.11.1996 - 20.11.1996
22.11.1999 -  1.12.1999
 2.12.1994 - 24.12.1994
25.12.2003 - 31.12.2003
