 1. 1.1993 - 20. 1.1993
21. 1.2001 - 30. 1.2001
31. 1.1994 -  9. 2.1994
10. 2.1997 - 24. 2.1997
25. 2.2002 -  6. 3.2002
 7. 3.2003 - 31. 3.2003
 1. 4.1993 - 25. 4.1993
26. 4.1998 -  5. 5.1998
 5. 5.2000 - 17. 5.2000
19. 5.2005 - 30. 5.2005
31. 5.1999 -  9. 6.1999
10. 6.2005 - 29. 6.2005
30. 6.1994 -  9. 7.1994
10. 7.2007 - 21. 7.2007
22. 7.1994 - 31. 7.1994
31. 7.2004 -  9. 8.2004
10. 8.2000 - 31. 8.2000
 2. 9.2005 - 20. 9.2005
21. 9.1994 - 30. 9.1994
 1.10.1995 - 27.10.1995
27.10.1996 - 23.11.1996
25.11.1997 -  4.12.1997
 5.12.1994 - 28.12.1994
29.12.2001 - 31.12.2001
