 1. 1.1998 - 28. 1.1998
29. 1.1994 -  7. 2.1994
 8. 2.2002 - 24. 2.2002
25. 2.1999 -  6. 3.1999
 7. 3.2005 - 23. 3.2005
24. 3.1997 -  2. 4.1997
 2. 4.2004 - 30. 4.2004
 2. 5.1998 - 22. 5.1998
23. 5.2005 -  1. 6.2005
 2. 6.2002 - 23. 6.2002
24. 6.2003 -  3. 7.2003
 4. 7.2006 - 20. 7.2006
21. 7.2001 - 31. 7.2001
31. 7.2004 -  9. 8.2004
11. 8.1998 - 21. 8.1998
22. 8.2001 - 31. 8.2001
 1. 9.2005 - 28. 9.2005
29. 9.2006 -  8.10.2006
 9.10.1995 - 28.10.1995
29.10.2005 -  7.11.2005
 8.11.1997 - 21.11.1997
22.11.2001 -  1.12.2001
 2.12.2007 - 18.12.2007
19.12.1994 - 31.12.1994
