 1. 1.1995 - 30. 1.1995
31. 1.2002 -  9. 2.2002
10. 2.1993 - 25. 2.1993
26. 2.2003 -  7. 3.2003
 8. 3.1993 - 29. 3.1993
29. 3.2004 -  7. 4.2004
 9. 4.1995 - 24. 4.1995
25. 4.1998 -  4. 5.1998
 5. 5.2002 - 20. 5.2002
21. 5.1995 - 31. 5.1995
31. 5.2000 -  9. 6.2000
10. 6.1996 - 25. 6.1996
27. 6.1998 -  6. 7.1998
 7. 7.2007 - 23. 7.2007
23. 7.2004 -  1. 8.2004
 3. 8.2001 - 18. 8.2001
18. 8.1996 - 30. 8.1996
31. 8.2000 - 25. 9.2000
26. 9.2004 -  5.10.2004
 7.10.1999 - 29.10.1999
30.10.1995 -  8.11.1995
 8.11.2000 - 27.11.2000
29.11.2003 -  8.12.2003
 9.12.2002 - 26.12.2002
27.12.2006 - 31.12.2006
