 1. 1.1999 - 10. 1.1999
11. 1.2002 - 31. 1.2002
 1. 2.1998 - 15. 2.1998
16. 2.1995 - 27. 2.1995
28. 2.2002 -  9. 3.2002
10. 3.2001 - 20. 3.2001
21. 3.1998 - 31. 3.1998
31. 3.2000 -  9. 4.2000
10. 4.2004 - 22. 4.2004
24. 4.2003 -  3. 5.2003
 4. 5.1993 - 26. 5.1993
27. 5.2005 -  5. 6.2005
 6. 6.2003 - 15. 6.2003
16. 6.2002 - 28. 6.2002
29. 6.1994 - 30. 7.1994
30. 7.2004 -  8. 8.2004
10. 8.1995 - 29. 8.1995
30. 8.1997 -  8. 9.1997
 9. 9.2002 - 21. 9.2002
22. 9.2005 - 28.10.2005
29.10.1999 -  7.11.1999
 8.11.2003 - 28.11.2003
29.11.2007 -  8.12.2007
 9.12.1994 - 29.12.1994
30.12.1993 - 31.12.1993
